random_state,target,r2,Modelo,posicion
0,orib_shannon_z,0.1753554184186057,MLP Perdida Custom,4
0,orib_shannon_z,0.167744531703837,RF Individual,5
0,orib_shannon_z,0.1652438849466485,RandomForest Multisalida,6
0,orib_shannon_z,0.1569763504755617,XGBoost Individual,7
0,orib_shannon_z,0.1137253501355812,Regresión Individual,8
0,orib_species_richness_z,0.2698050381658452,XGBoost Multisalida,1
0,orib_species_richness_z,0.2696862843206644,MLP Estandar,2
0,orib_species_richness_z,0.2451555828219317,Random Forest con RegressorChain,3
0,orib_species_richness_z,0.2333637948119994,RandomForest Multisalida,4
0,orib_species_richness_z,0.2217797001452914,MLP Perdida Custom,5
0,orib_species_richness_z,0.2143329132346575,RF Individual,6
0,orib_species_richness_z,0.092076863981214,Regresión Individual,7
0,orib_species_richness_z,-0.1267094419770009,XGBoost Individual,8
1,bac_asv_richness_z,0.0066665080275083,RandomForest Multisalida,1
1,bac_asv_richness_z,0.0011773819556,RF Individual,2
1,bac_asv_richness_z,-0.0045094624590926,XGBoost Multisalida,3
1,bac_asv_richness_z,-0.0216166519954239,Random Forest con RegressorChain,4
1,bac_asv_richness_z,-0.0504054553042339,XGBoost Individual,5
1,bac_asv_richness_z,-0.0760556702294383,Regresión Individual,6
1,bac_asv_richness_z,-0.1401867714487279,MLP Estandar,7
1,bac_asv_richness_z,-0.2763040112595585,MLP Perdida Custom,8
1,bac_shannon_z,0.041307582318349,Random Forest con RegressorChain,1
1,bac_shannon_z,0.0384290856148618,RandomForest Multisalida,2
1,bac_shannon_z,-0.0072885477029391,RF Individual,3
1,bac_shannon_z,-0.0459101503849224,XGBoost Multisalida,4
1,bac_shannon_z,-0.0764215855133239,MLP Estandar,5
1,bac_shannon_z,-0.0812391862285295,Regresión Individual,6
1,bac_shannon_z,-0.2091851813239265,XGBoost Individual,7
1,bac_shannon_z,-0.2156620706241847,MLP Perdida Custom,8
1,cerc_asv_richness_z,0.1141324048659542,RF Individual,1
1,cerc_asv_richness_z,0.11144135982965,RandomForest Multisalida,2
1,cerc_asv_richness_z,0.1018608131860397,Regresión Individual,3
1,cerc_asv_richness_z,0.0952980374022023,XGBoost Multisalida,4
1,cerc_asv_richness_z,0.094785771492827,Random Forest con RegressorChain,5
1,cerc_asv_richness_z,0.0249307924888843,MLP Perdida Custom,6
1,cerc_asv_richness_z,0.0156489991790785,MLP Estandar,7
1,cerc_asv_richness_z,-0.0037691705848834,XGBoost Individual,8
1,cerc_shannon_z,0.015451015952051,Regresión Individual,1
1,cerc_shannon_z,-0.0051701483494923,RandomForest Multisalida,2
1,cerc_shannon_z,-0.0055105923108573,XGBoost Multisalida,3
1,cerc_shannon_z,-0.0107050775588908,Random Forest con RegressorChain,4
1,cerc_shannon_z,-0.0294384649041208,RF Individual,5
1,cerc_shannon_z,-0.1093258518311253,MLP Perdida Custom,6
1,cerc_shannon_z,-0.178531401830613,MLP Estandar,7
1,cerc_shannon_z,-0.5394929450089265,XGBoost Individual,8
1,coll_shannon_z,-0.1732568749865866,RandomForest Multisalida,1
1,coll_shannon_z,-0.3987282868945994,XGBoost Multisalida,2
1,coll_shannon_z,-0.4024252055296582,RF Individual,3
1,coll_shannon_z,-0.4997815668028846,Regresión Individual,4
1,coll_shannon_z,-0.7069237846791518,XGBoost Individual,5
1,coll_shannon_z,-0.815030076260816,Random Forest con RegressorChain,6
1,coll_shannon_z,-0.9898683699843208,MLP Estandar,7
1,coll_shannon_z,-1.0110323355759152,MLP Perdida Custom,8
1,coll_species_richness_z,-0.2604817701619681,RandomForest Multisalida,1
1,coll_species_richness_z,-0.5703183418247344,RF Individual,2
1,coll_species_richness_z,-0.5894521914866004,Random Forest con RegressorChain,3
1,coll_species_richness_z,-0.6095068717664782,XGBoost Multisalida,4
1,coll_species_richness_z,-0.7340579954886903,Regresión Individual,5
1,coll_species_richness_z,-0.8919052617537844,XGBoost Individual,6
1,coll_species_richness_z,-1.7712058444280885,MLP Estandar,7
1,coll_species_richness_z,-1.7751100525664794,MLP Perdida Custom,8
1,earthworm_richness_z,0.5991417665952389,XGBoost Multisalida,1
1,earthworm_richness_z,0.5568169765571839,RF Individual,2
1,earthworm_richness_z,0.5476789960509019,Random Forest con RegressorChain,3
