random_state,earthworm_shannon_z_r2,earthworm_richness_z_r2,Modelo,r2_medio_prioritarios,posicion
230,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
240,0.5185139436450117,0.5922413853986912,XGBoost Multisalida,0.5553776645218514,1
240,0.5021694060846555,0.5560453802509145,RF Individual,0.529107393167785,2
240,0.4878097924848071,0.5550004049106119,Random Forest con RegressorChain,0.5214050986977095,3
240,0.4283869626830335,0.492923241297253,MLP Estandar,0.46065510199014326,4
240,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,5
240,0.4152284076018694,0.4441477352220592,RandomForest Multisalida,0.4296880714119643,6
240,0.3340124338530094,0.447676993798576,MLP Perdida Custom,0.39084471382579267,7
240,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
250,0.5464047232559641,0.5772051817948296,XGBoost Multisalida,0.5618049525253969,1
250,0.4950599195266958,0.5633456735149673,RF Individual,0.5292027965208316,2
250,0.5027420608398308,0.5153655537645783,Random Forest con RegressorChain,0.5090538073022045,3
250,0.4314242505802175,0.5209373488155462,MLP Estandar,0.47618079969788185,4
250,0.4244473177752126,0.4557481828909191,RandomForest Multisalida,0.44009775033306586,5
250,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,6
250,0.4087831995781598,0.4519173249632557,MLP Perdida Custom,0.4303502622707077,7
250,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
260,0.5293804517867715,0.5816757656557195,XGBoost Multisalida,0.5555281087212456,1
260,0.5090728899789955,0.5583356538877905,RF Individual,0.533704271933393,2
260,0.5109126152996386,0.5415612270064274,Random Forest con RegressorChain,0.526236921153033,3
260,0.4524954137414975,0.5330596920944601,MLP Estandar,0.4927775529179788,4
260,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,5
260,0.4080126850175429,0.4537250777330609,RandomForest Multisalida,0.4308688813753019,6
260,0.3827393215597481,0.4739029787470088,MLP Perdida Custom,0.42832115015337846,7
260,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
270,0.5224169070132928,0.5883417463483673,XGBoost Multisalida,0.55537932668083,1
270,0.4934509162878024,0.5391053116545881,RF Individual,0.5162781139711953,2
270,0.494177059288897,0.5367836112077253,Random Forest con RegressorChain,0.5154803352483112,3
270,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,4
270,0.4174453062819095,0.4530841777946431,RandomForest Multisalida,0.4352647420382763,5
270,0.3481325023821309,0.4506101074611583,MLP Perdida Custom,0.39937130492164463,6
270,0.3324036711580631,0.4209709843740076,MLP Estandar,0.3766873277660353,7
270,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
280,0.5259096782223499,0.5925773757878277,XGBoost Multisalida,0.5592435270050888,1
280,0.5007213363382903,0.5506791505831035,RF Individual,0.5257002434606969,2
280,0.4849673882147663,0.531571674010132,Random Forest con RegressorChain,0.5082695311124491,3
280,0.4141378153229841,0.5211108843756453,MLP Estandar,0.4676243498493147,4
280,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,5
280,0.3928803651206148,0.4805011916944658,MLP Perdida Custom,0.43669077840754034,6
280,0.4034305847936624,0.4412835363753791,RandomForest Multisalida,0.4223570605845207,7
280,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
290,0.5437321874023926,0.563729778171675,XGBoost Multisalida,0.5537309827870338,1
290,0.5029806547479632,0.5534741100066161,RF Individual,0.5282273823772896,2
290,0.4923696662671828,0.5361073540567896,Random Forest con RegressorChain,0.5142385101619862,3
290,0.4204195642406548,0.5472646986635045,MLP Estandar,0.48384213145207966,4
290,0.4242365758848124,0.4568624396862168,RandomForest Multisalida,0.4405495077855146,5
290,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,6
290,0.2976768171385311,0.3734787805375221,MLP Perdida Custom,0.33557779883802663,7
290,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
300,0.5448631029667195,0.5674085148173001,XGBoost Multisalida,0.5561358088920099,1
300,0.4971820707055261,0.5487677133007263,RF Individual,0.5229748920031262,2
300,0.4739679011328569,0.5043783839307379,Random Forest con RegressorChain,0.4891731425317974,3
300,0.4015525081167231,0.5021763650063575,MLP Estandar,0.4518644365615403,4
300,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,5
300,0.4075299311189663,0.4644901334047266,MLP Perdida Custom,0.4360100322618464,6
300,0.4167628602000601,0.4434614585324933,RandomForest Multisalida,0.43011215936627667,7
300,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
310,0.5394765614341726,0.5968565246104479,XGBoost Multisalida,0.5681665430223102,1
310,0.5023019636049079,0.5579350282976507,RF Individual,0.5301184959512792,2
310,0.4707949776975682,0.5394075458678251,Random Forest con RegressorChain,0.5051012617826967,3
310,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,4
310,0.4146172327412091,0.4509162750074542,RandomForest Multisalida,0.4327667538743316,5
310,0.3812255199991556,0.4466498534338449,MLP Estandar,0.4139376867165002,6
310,0.3544572270595397,0.4607070455030968,MLP Perdida Custom,0.40758213628131823,7
310,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
320,0.545124487321826,0.5663788112211481,XGBoost Multisalida,0.555751649271487,1
320,0.5041704331401325,0.5603148097481847,RF Individual,0.5322426214441587,2
320,0.4545478422915708,0.5335291271215561,Random Forest con RegressorChain,0.4940384847065634,3
320,0.4415723195304458,0.4849250962398898,MLP Estandar,0.4632487078851678,4
320,0.4260106731992026,0.454555322193629,RandomForest Multisalida,0.44028299769641577,5
320,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,6
320,0.3841405018312295,0.4924272702941508,MLP Perdida Custom,0.43828388606269014,7
320,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
330,0.5169750138173345,0.5836066753064302,XGBoost Multisalida,0.5502908445618824,1
330,0.5006058004131057,0.5670787674601835,RF Individual,0.5338422839366446,2
330,0.4866060886312,0.5410890254090988,Random Forest con RegressorChain,0.5138475570201494,3
330,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,4
330,0.4109696629592,0.4491829311587884,RandomForest Multisalida,0.4300762970589942,5
330,0.3793202144602799,0.4745430740356311,MLP Estandar,0.4269316442479555,6
330,0.309906320779363,0.389566782928394,MLP Perdida Custom,0.3497365518538785,7
330,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
340,0.5289733612518717,0.6218464606056759,XGBoost Multisalida,0.5754099109287738,1
340,0.5024126450332213,0.5536806359520554,RF Individual,0.5280466404926383,2
340,0.4917570364164358,0.5206168399717229,Random Forest con RegressorChain,0.5061869381940793,3
340,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,4
340,0.3954096047213669,0.4637969775363718,MLP Estandar,0.4296032911288693,5
340,0.4044539455272319,0.4452586177573572,RandomForest Multisalida,0.42485628164229455,6
340,0.3537889868802412,0.4006477273749428,MLP Perdida Custom,0.377218357127592,7
340,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
350,0.5233025678062518,0.5871841158551853,XGBoost Multisalida,0.5552433418307186,1
350,0.5022126660254225,0.5469340472398225,RF Individual,0.5245733566326225,2
350,0.4756664062645747,0.5326977266485431,Random Forest con RegressorChain,0.5041820664565588,3
350,0.3999436370984529,0.4977289639949332,MLP Estandar,0.44883630054669305,4
350,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,5
350,0.4127021148438883,0.445268437262721,RandomForest Multisalida,0.4289852760533046,6
350,0.2989906202617687,0.4065347234557809,MLP Perdida Custom,0.3527626718587748,7
350,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
360,0.5344414681841693,0.5761041060235166,XGBoost Multisalida,0.555272787103843,1
360,0.5220370923670383,0.5428158602949114,RF Individual,0.5324264763309748,2
360,0.4755422921549744,0.5179193592029511,Random Forest con RegressorChain,0.49673082567896276,3
360,0.422057596723552,0.5171482169208332,MLP Perdida Custom,0.46960290682219263,4
360,0.4211996253268546,0.4597493953284959,RandomForest Multisalida,0.44047451032767526,5
360,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,6
360,0.3629414668392043,0.4736799903670573,MLP Estandar,0.4183107286031308,7
360,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
370,0.5460623843537948,0.5651864900826971,XGBoost Multisalida,0.555624437218246,1
370,0.501125679788196,0.539172872526007,RF Individual,0.5201492761571015,2
370,0.4756375213996594,0.5220646450765225,Random Forest con RegressorChain,0.49885108323809096,3
370,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,4
370,0.412908846288434,0.4438498930742097,RandomForest Multisalida,0.42837936968132184,5
370,0.3346026888507197,0.4425982886119993,MLP Estandar,0.3886004887313595,6
370,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,7
370,0.2228923311564256,0.2887805901415182,MLP Perdida Custom,0.2558364606489719,8
380,0.5210392510445925,0.5894561175065358,XGBoost Multisalida,0.5552476842755641,1
380,0.5106479294155828,0.5521608254562207,RF Individual,0.5314043774359017,2
380,0.4790634052087433,0.5379942127388939,Random Forest con RegressorChain,0.5085288089738186,3
380,0.4559208864788625,0.498103353542357,MLP Perdida Custom,0.4770121200106098,4
380,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,5
380,0.3869630312088156,0.4752211799657275,MLP Estandar,0.4310921055872715,6
380,0.402572560071661,0.4412141857925989,RandomForest Multisalida,0.4218933729321299,7
380,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
390,0.5339470278724063,0.5856465426161163,XGBoost Multisalida,0.5597967852442614,1
390,0.5041531560224572,0.5302066170915908,RF Individual,0.5171798865570241,2
390,0.468716738169904,0.5054452541867662,Random Forest con RegressorChain,0.4870809961783351,3
390,0.3930877772034571,0.5082958702694862,MLP Estandar,0.45069182373647165,4
390,0.4255733431842984,0.4569143537189194,RandomForest Multisalida,0.4412438484516089,5
390,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,6
390,0.3508935871749824,0.4088419729195788,MLP Perdida Custom,0.3798677800472806,7
390,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
400,0.5269094813270306,0.6105911184010503,XGBoost Multisalida,0.5687502998640405,1
400,0.4950928216633506,0.5381398129102847,RF Individual,0.5166163172868177,2
